delay_id,project_id,delay_title,start_date,end_date,responsibility,activity_id,cause_category,notice_ref,estimated_delay_days,approved_eot_days,status
DLY-STEEL-001,The Big -P.01-UP-20-April-26,"1st steel patch supply: 587 tons requested, 587 tons delivered, 0 pending",27-Oct-25,9-Dec-25,"Employer/Client for free-issue steel delivery if requisition was valid; Contractor for requisition, storage, and mitigation",STEEL-001-FOUNDATION-REINFORCEMENT-AND-STEEL-INSTA,Employer-supplied material / procurement delay,STEEL PATCH 1,46,0,Closed / delivered late
DLY-STEEL-002,The Big -P.01-UP-20-April-26,"2nd steel patch supply: 726 tons requested, 726 tons delivered, 0 tons pending",26-Dec-25,5-May-26,Employer/Client for late free-issue steel delivery if requisition was valid; Contractor for mitigation and records,"CON-B01-FOOT-1050, CON-B04-FOOT-1070",Employer-supplied material / procurement delay,STEEL PATCH 1,130,0,Closed / delivered late
DLY-STEEL-003,The Big -P.01-UP-20-April-26,"3rd steel patch supply: 512 tons requested, 0 delivered, 512 tons pending",5-Feb-26,6-May-26,"Employer/Client for non-delivery if requisition was valid; Contractor for readiness, mitigation, and notices",-,Employer-supplied material / procurement delay,STEEL PATCH 3,90,0,Open / pending delivery
DLY-IFC-001,The Big -P.01-UP-20-April-26,IFC design package status - Structural Design / Initial IFC - B1 to B4,25-May-25,4-Aug-25,Design team / consultant issuance,-,Design information / IFC issuance,SD-IFC-001,0,0,Record only / no delay quantified
DLY-IFC-002,The Big -P.01-UP-20-April-26,IFC design package status - Structural Design Update - B1 to B4,4-Aug-25,27-Oct-25,Design team / consultant issuance,-,Design information / IFC issuance,SD-IFC-002,0,0,Record only / no delay quantified
DLY-IFC-003,The Big -P.01-UP-20-April-26,IFC design package status - Coordinated Structural / MEP Package,27-Oct-25,24-Mar-26,Design team / consultant issuance,-,Design information / IFC issuance,SD-IFC-003,0,0,Record only / no delay quantified
DLY-IFC-004,The Big -P.01-UP-20-April-26,Design conflict / IFC impact - B1-B4 Structural Package Conflict,24-Mar-26,30-Apr-26,Consultant / Engineer design coordination,CON-B03-BAS02-1010,IFC / design conflict,SD-RFI-001,37,0,Closed / consolidated response received
DLY-IFC-005,The Big -P.01-UP-20-April-26,Design conflict / IFC impact - As-Built Column Conflict / B1-B4,24-Mar-26,30-Apr-26,Consultant / Engineer design coordination,CON-B03-BAS02-1010,IFC / design conflict,SD-RFI-002,37,0,Closed / consolidated response received
DLY-IFC-006,The Big -P.01-UP-20-April-26,Design conflict / IFC impact - Technical Office Stoppage / B1-B4,24-Mar-26,30-Apr-26,Consultant / Engineer design coordination,CON-B03-BAS02-1010,IFC / design conflict,SD-TO-001,37,0,Closed / consolidated response received
DLY-IFC-007,The Big -P.01-UP-20-April-26,Design conflict / IFC impact - Approved Shop Drawing Revision Cycle,30-Apr-26,30-Apr-26,Consultant / Engineer design coordination,CON-B03-BAS02-1010,IFC / design conflict,SD-REV-001,0,0,Open / revision approval pending
DLY-RFI-001-01,The Big -P.01-UP-20-April-26,Late RFI response impact - Raft Foundation (Water Tank),16-Feb-26,29-Mar-26,Consultant / Engineer response delay,CON-B04-WT-1070,RFI response delay / engineering information delay,RFI 001,41,0,Closed / consultant response received
DLY-RFI-002-01,The Big -P.01-UP-20-April-26,Late RFI response impact - Slab,17-Feb-26,18-Mar-26,Consultant / Engineer response delay,CON-B04-WT-1150,RFI response delay / engineering information delay,RFI 002,29,0,Closed / consultant response received
DLY-RFI-002-02,The Big -P.01-UP-20-April-26,Late RFI response impact - Columns,17-Feb-26,18-Mar-26,Consultant / Engineer response delay,CON-B04-WT-1110,RFI response delay / engineering information delay,RFI 002,29,0,Closed / consultant response received
DLY-RFI-002-03,The Big -P.01-UP-20-April-26,Late RFI response impact - Finishes,17-Feb-26,18-Mar-26,Consultant / Engineer response delay,CON-B04-WT-1110,RFI response delay / engineering information delay,RFI 002,29,0,Closed / consultant response received
DLY-RFI-003-01,The Big -P.01-UP-20-April-26,"Late RFI response impact - Raft Foundation (B03, B04)",10-Mar-26,7-Apr-26,Consultant / Engineer response delay,CON-B04-WT-1070,RFI response delay / engineering information delay,RFI  003,28,0,Closed / consultant response received
DLY-RFI-005-01,The Big -P.01-UP-20-April-26,Late RFI response impact - Walls,10-Mar-26,5-Apr-26,Consultant / Engineer response delay,CON-B04-WT-1110,RFI response delay / engineering information delay,RFI 005,26,0,Closed / consultant response received
DLY-RFI-005-02,The Big -P.01-UP-20-April-26,Late RFI response impact - External Site,10-Mar-26,5-Apr-26,Consultant / Engineer response delay,CON-B04-WT-1190,RFI response delay / engineering information delay,RFI 005,26,0,Closed / consultant response received
