project_id,project_name,sector_name,payment,contract,project,invoice no,invoice date,certified amount,paid amount,payment status,Contractual interest due,Date of Cash Cheque Receipt,Period for payment release,Period in which interest is applied,Amount of interest claimed (EGP),delayed duration(Days) ,Unnamed: 14,Unnamed: 15,Unnamed: 16,source_file
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,1.0,LB-PH-01,LMD-Bridge,1.0,18-Feb-26,39950000.0,39950000.0,Paid,45.0,9-Apr-26,50.0,5.0,23970.0,5.0,,,,projects\Bridges\LMD-Bridgs\01-data\import_templates\payments.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,2.0,LB-PH-01,LMD-Bridge,2.0,20-Mar-26,50150000.0,50150000.0,Paid,45.0,14-May-26,55.0,10.0,60180.0,10.0,,,,projects\Bridges\LMD-Bridgs\01-data\import_templates\payments.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,3.0,LB-PH-01,LMD-Bridge,3.0,19-Apr-26,60350000.0,60350000.0,Paid,45.0,18-Jun-26,60.0,15.0,108630.0,15.0,,,,projects\Bridges\LMD-Bridgs\01-data\import_templates\payments.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,4.0,LB-PH-01,LMD-Bridge,4.0,19-May-26,70550000.0,70550000.0,Paid,45.0,23-Jul-26,65.0,20.0,169320.0,20.0,,,,projects\Bridges\LMD-Bridgs\01-data\import_templates\payments.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,5.0,LB-PH-01,LMD-Bridge,5.0,18-Jun-26,80750000.0,50065000.0,Partially Paid,45.0,27-Aug-26,70.0,25.0,242250.0,25.0,,,,projects\Bridges\LMD-Bridgs\01-data\import_templates\payments.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,6.0,LB-PH-01,LMD-Bridge,6.0,18-Jul-26,90950000.0,56389000.0,Certified,45.0,,,0.0,0.0,,,,,projects\Bridges\LMD-Bridgs\01-data\import_templates\payments.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,1.0,Ph-01,The Big -P.01-UP-20-April-26,1.0,6-Dec-25,23485862.02,23485862.02,Paid,45.0,10-Feb-26,66.0,7.0,17547.5994,6.0,,,,projects\Buildings\The BIG - PH01\01-data\import_templates\payments.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,2.0,Ph-01,The Big -P.01-UP-20-April-26,2.0,29-Dec-25,26309019.51,26309019.51,Paid,45.0,10-Mar-26,71.0,26.0,73052.11174,11.0,,,,projects\Buildings\The BIG - PH01\01-data\import_templates\payments.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,3.0,Ph-01,The Big -P.01-UP-20-April-26,3.0,24-Jan-26,20099944.0,20099944.0,Paid,45.0,19-Apr-26,85.0,40.0,63236.8278,25.0,,,,projects\Buildings\The BIG - PH01\01-data\import_templates\payments.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,4.0,Ph-01,The Big -P.01-UP-20-April-26,4.0,25-Feb-26,40393706.06,40393706.06,Paid,45.0,4-May-26,68.0,23.0,78936.30398,8.0,,,,projects\Buildings\The BIG - PH01\01-data\import_templates\payments.csv
