"Score","Category","File","FullPath","LineNumber","SuggestedRange","MatchedPattern","Code"
"11","Generated report or output format","tools\generate_data_lineage.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\tools\generate_data_lineage.py","61","58-69","Output Studio; output studio; \.csv; output","item(""Output Studio"", ""Executive dashboard"", ""All management KPIs, alerts, discipline and cost views"", ""projects.csv, activities.csv, evm.csv, contracts.csv, payments.csv, risks.csv, milestones.csv, s_curve.csv"", ""overview/EVM/contract/risk/milestone/activity fields"", ""Use already scoped dashboard metric dictionaries"", ""dashboard.build_the_big_decision_dashboard_html"", output=""selected-project-prefixed HTML download""),"
"9","Output Studio","dr.ps1","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\dr.ps1","215","212-223","Output Studio; output studio; output; report","[void]$Builder.AppendLine(""Identify files, reports, functions and code lines associated with Output Studio report generation."")"
"9","Output Studio","scripts\evaluate_output_studio.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\scripts\evaluate_output_studio.py","21","18-29","output_studio; output","OUTPUT_DIR = GENERATED_DIR / ""output_studio_eval"""
"9","Output Studio","tools\configure_github_sync_credentials.ps1","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\tools\configure_github_sync_credentials.ps1","40","37-43","Output Studio; output studio; output","Write-Host ""Restart Streamlit and open a new VS Code terminal before using the Output Studio controls."""
"9","Output Studio","tools\generate_data_lineage.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\tools\generate_data_lineage.py","62","59-70","Output Studio; output studio; pptx; output","item(""Output Studio"", ""Linked executive dashboard"", ""HTML/PPTX/A3/EVM outputs"", ""same active-project metric dictionaries"", ""all linked dashboard KPI fields"", ""No fallback to another project; project-prefixed filenames"", ""dashboard.build_linked_executive_dashboard_html and export helpers"", output=""selected-project-prefixed HTML/PPTX downloads""),"
"9","Output Studio","tools\generate_data_lineage.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\tools\generate_data_lineage.py","63","60-71","Output Studio; output studio; output; report","item(""Output Studio"", ""Detailed Progress report"", ""XLSX, HTML, DOCX, Power BI style"", ""all selected-project operational CSVs and letters"", ""report control, project, activities, schedule, cost, risk, correspondence"", ""Build report package from active project metrics and tables"", ""dashboard.build_detailed_progress_report_package"", output=""selected-project-prefixed XLSX/HTML/DOCX downloads""),"
"9","Output Studio","tools\validate_project_isolation.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\tools\validate_project_isolation.py","134","131-142","Output Studio; output studio; output; report","for number, label in [(4, ""Core project data paths are isolated""), (5, ""Claims Intelligence databases are isolated""), (6, ""Delay TIA paths are isolated""), (7, ""Output Studio paths are isolated""), (8, ""Reports save under selected project""), (9, ""Slides save under selected project""), (10, ""Exports save under selected project""), (17, ""Cache keys include project identity"")]:"
"8","Output Studio","scripts\evaluate_output_studio.py","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\scripts\evaluate_output_studio.py","109","106-117","output_studio; output","def extract_output_studio_source(source: str) -> str:"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","213","210-221","\.docx; output","""11-outputs/power_bi_package/docs/Power_BI_Build_Guide.docx"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","518","515-526","\.csv","""projects/Bridges/LMD-Bridgs/02-delay_analysis/steel_delay_tia_templates/04-p6_activity_export.csv"":  {"
