project_id,project_name,sector_name,Primary Event ID,Activity ID,Activity Name,BL Start,BL Finish,Start,Finish,Delayed duration,Overlap Start,Overlap Finish,BL Critical Path,Current Critical Path,Delayed duration after overlap,source_file
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,Delay in employer free issue steel supply,CON-LB-PIL-1010,Bored piles and pile caps,10-Jan-26,15-Apr-26,31-Jan-26,16-May-26,-31,31-Jan-26,16-May-26,Yes,Yes,31,projects\Bridges\LMD-Bridgs\01-data\import_templates\delay_events.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,Late IFC / design clarification,CON-LB-RFT-1020,RFT for piers and abutments,17-Mar-26,24-Apr-26,12-Apr-26,31-May-26,-37,12-Apr-26,31-May-26,Yes,No,37,projects\Bridges\LMD-Bridgs\01-data\import_templates\delay_events.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,Delayed RFI response,CON-LB-CON-1030,Concrete works for piers and abutments,24-Apr-26,29-May-26,25-May-26,11-Jul-26,-43,25-May-26,11-Jul-26,Yes,Yes,43,projects\Bridges\LMD-Bridgs\01-data\import_templates\delay_events.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,Access constraint and traffic diversion,CON-LB-DECK-1040,Deck formwork reinforcement and casting,13-Jun-26,1-Sep-26,19-Jul-26,20-Oct-26,-49,19-Jul-26,20-Oct-26,No,No,49,projects\Bridges\LMD-Bridgs\01-data\import_templates\delay_events.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,MEP sleeve coordination delay,CON-LB-ROAD-1050,Approach road embankment and pavement,27-Aug-26,30-Nov-26,7-Oct-26,24-Jan-27,-55,7-Oct-26,24-Jan-27,No,Yes,48,projects\Bridges\LMD-Bridgs\01-data\import_templates\delay_events.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,Delay in steel supply by client,CON-B02-FOOT-1070,RFT for Columns & Walls Below SOG (B02) (footing),23-Dec-25,29-Dec-25,28-Jan-26,4-Mar-26,-24,28-Jan-26,4-Mar-26,Yes,No,24,projects\Buildings\The BIG - PH01\01-data\import_templates\delay_events.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,Delay in steel supply by client,CON-B01-FOOT-1050,RFT for RC Raft & Footings (B01) (footing),6-Dec-25,18-Dec-25,1-Feb-26,5-Mar-26,-14,1-Feb-26,5-Mar-26,Yes,No,14,projects\Buildings\The BIG - PH01\01-data\import_templates\delay_events.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,Delay in steel supply by client,CON-B04-WT-1110,RFT for Walls (B04) (Water Tank),13-Dec-25,21-Dec-25,4-Mar-26,14-Apr-26,-25,4-Mar-26,14-Apr-26,Yes,No,0,projects\Buildings\The BIG - PH01\01-data\import_templates\delay_events.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,Delay in steel supply by client,CON-B04-FOOT-1050,RFT for RC Raft & Footings (B04) (footing),15-Jan-26,24-Jan-26,1-Mar-26,7-May-26,-43,1-Mar-26,7-May-26,Yes,Yes,43,projects\Buildings\The BIG - PH01\01-data\import_templates\delay_events.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,Delay in steel supply by client,CON-B04-FOOT-1070,RFT for Columns & Walls Below SOG (B04) (footing),21-Jan-26,27-Jan-26,10-Mar-26,6-May-26,-48,10-Mar-26,6-May-26,Yes,Yes,48,projects\Buildings\The BIG - PH01\01-data\import_templates\delay_events.csv
