project_id,project_name,sector_name,months,monthly_planned,cumm_monthly_planned,monthly_actual,cumm_monthly_actual,monthly_invoiced,cumm_monthly_invoiced,source_file
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,1-Nov-25,17000000.0,17000000.0,11849000.0,11849000.0,0.0,0.0,projects\Bridges\LMD-Bridgs\01-data\import_templates\s_curve.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,1-Dec-25,34000000.0,51000000.0,24534400.0,36383400.0,0.0,0.0,projects\Bridges\LMD-Bridgs\01-data\import_templates\s_curve.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,1-Jan-26,59500000.0,110500000.0,44398900.0,80782300.0,34631142.0,34631142.0,projects\Bridges\LMD-Bridgs\01-data\import_templates\s_curve.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,1-Feb-26,85000000.0,195500000.0,65518000.0,146300300.0,51104040.0,85735182.0,projects\Bridges\LMD-Bridgs\01-data\import_templates\s_curve.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,1-Mar-26,102000000.0,297500000.0,81130800.0,227431100.0,63282024.0,149017206.0,projects\Bridges\LMD-Bridgs\01-data\import_templates\s_curve.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,1-Apr-26,119000000.0,416500000.0,97580000.0,325011100.0,76112400.0,225129606.0,projects\Bridges\LMD-Bridgs\01-data\import_templates\s_curve.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,1-May-26,110500000.0,527000000.0,93328300.0,418339400.0,72796074.0,297925680.0,projects\Bridges\LMD-Bridgs\01-data\import_templates\s_curve.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,1-Jun-26,102000000.0,629000000.0,88658400.0,506997800.0,69153552.0,367079232.0,projects\Bridges\LMD-Bridgs\01-data\import_templates\s_curve.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,1-Jul-26,85000000.0,714000000.0,60222500.0,567220300.0,46973550.0,414052782.0,projects\Bridges\LMD-Bridgs\01-data\import_templates\s_curve.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,1-Aug-26,68000000.0,782000000.0,49504000.0,616724300.0,38613120.0,452665902.0,projects\Bridges\LMD-Bridgs\01-data\import_templates\s_curve.csv
