risk_id,project_name,sector_name,project_id,risk_title,risk_category,probability,time_impact_days,cost_impact,response_strategy,owner,status,due_date,source_file
R-001,LMD Bridge & Road Interchange,Bridges,LMD-Bridge,Steel delivery delay,Schedule,high,yes,yes,Mitigate,Project manager,open,30-Jun-26,projects\Bridges\LMD-Bridgs\01-data\import_templates\risks.csv
R-002,LMD Bridge & Road Interchange,Bridges,LMD-Bridge,Late design clarification and IFC revisions,Engineering,medium,yes,yes,Transfer,Technical office manager,open,15-Jul-26,projects\Bridges\LMD-Bridgs\01-data\import_templates\risks.csv
R-003,LMD Bridge & Road Interchange,Bridges,LMD-Bridge,Cashflow pressure due to delayed certification,Commercial,medium,no,yes,Mitigate,Commercial manager,monitoring,31-Jul-26,projects\Bridges\LMD-Bridgs\01-data\import_templates\risks.csv
1,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,The Big -P.01-UP-20-April-26,Steel delivery delay,Schedule,high,yes,no,Avoid,Project manager,open,30-May-26,projects\Buildings\The BIG - PH01\01-data\import_templates\risks.csv
0,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,The Big -P.01-UP-20-April-26,Deploting MEP sub contractor,Schedule,high,yes,yes,Transfer,Project manager,Closed,28-Feb-26,projects\Buildings\The BIG - PH01\01-data\import_templates\risks.csv
R-001,Sophia Mall Mixed-Use Development,Buildings,Sophia-Mall,Steel delivery delay,Schedule,medium,yes,yes,Mitigate,Project manager,open,30-Jun-26,projects\Buildings\Sophia-Mall\01-data\import_templates\risks.csv
R-002,Sophia Mall Mixed-Use Development,Buildings,Sophia-Mall,Late design clarification and IFC revisions,Engineering,medium,yes,yes,Transfer,Technical office manager,open,15-Jul-26,projects\Buildings\Sophia-Mall\01-data\import_templates\risks.csv
R-003,Sophia Mall Mixed-Use Development,Buildings,Sophia-Mall,Cashflow pressure due to delayed certification,Commercial,medium,no,yes,Mitigate,Commercial manager,monitoring,31-Jul-26,projects\Buildings\Sophia-Mall\01-data\import_templates\risks.csv
R-001,Suez Tunnel Civil & MEP Works,Tunnels,Suez-Tunnel,Steel delivery delay,Schedule,high,yes,yes,Mitigate,Project manager,open,30-Jun-26,projects\Tunnels\Suez-Tunnel\01-data\import_templates\risks.csv
R-002,Suez Tunnel Civil & MEP Works,Tunnels,Suez-Tunnel,Late design clarification and IFC revisions,Engineering,medium,yes,yes,Transfer,Technical office manager,open,15-Jul-26,projects\Tunnels\Suez-Tunnel\01-data\import_templates\risks.csv
R-003,Suez Tunnel Civil & MEP Works,Tunnels,Suez-Tunnel,Cashflow pressure due to delayed certification,Commercial,medium,no,yes,Mitigate,Commercial manager,monitoring,31-Jul-26,projects\Tunnels\Suez-Tunnel\01-data\import_templates\risks.csv
