milestone_id,project_name,sector_name,project_id,activity_name,planned_date,forecast_date,actual_date,milestone_contractual_type,source_file
KD-MS-1000,LMD Bridge & Road Interchange,Bridges,LMD-Bridge,Project Start Date,5-Nov-25,5-Nov-25,5-Nov-25,Start milestone,projects\Bridges\LMD-Bridgs\01-data\import_templates\milestones.csv
KD-MS-1010,LMD Bridge & Road Interchange,Bridges,LMD-Bridge,Contract Agreement,5-Nov-25,5-Nov-25,5-Nov-25,Start milestone,projects\Bridges\LMD-Bridgs\01-data\import_templates\milestones.csv
KD-MS-1020,LMD Bridge & Road Interchange,Bridges,LMD-Bridge,IFC Drawing Package,12-Nov-25,3-Dec-25,12-Nov-25,Key milestone,projects\Bridges\LMD-Bridgs\01-data\import_templates\milestones.csv
KD-MS-5000,LMD Bridge & Road Interchange,Bridges,LMD-Bridge,Structural Works Completion,5-Nov-26,7-Jan-27,,Interim milestone,projects\Bridges\LMD-Bridgs\01-data\import_templates\milestones.csv
KD-MS-9000,LMD Bridge & Road Interchange,Bridges,LMD-Bridge,Substantial Completion,20-Mar-27,9-Jun-27,,Finish milestone,projects\Bridges\LMD-Bridgs\01-data\import_templates\milestones.csv
KD`-MS-1000,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,The Big -P.01-UP-20-April-26,Project Start Date,11-Sep-25,11-Sep-25,11-Sep-25,Start milestone,projects\Buildings\The BIG - PH01\01-data\import_templates\milestones.csv
KD-MS-1010,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,The Big -P.01-UP-20-April-26,Contract Agreement,11-Sep-25,11-Sep-25,11-Sep-25,Start milestone,projects\Buildings\The BIG - PH01\01-data\import_templates\milestones.csv
KD-MS-1020,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,The Big -P.01-UP-20-April-26,IFC Drawing Package,11-Sep-25,11-Sep-25,11-Sep-25,Start milestone,projects\Buildings\The BIG - PH01\01-data\import_templates\milestones.csv
KD-MS-1040,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,The Big -P.01-UP-20-April-26,Ground Works Finish Date,11-May-26,10-Sep-26,,Finish milestone,projects\Buildings\The BIG - PH01\01-data\import_templates\milestones.csv
KD-MS-1000,Sophia Mall Mixed-Use Development,Buildings,Sophia-Mall,Project Start Date,15-Oct-25,15-Oct-25,15-Oct-25,Start milestone,projects\Buildings\Sophia-Mall\01-data\import_templates\milestones.csv
KD-MS-1010,Sophia Mall Mixed-Use Development,Buildings,Sophia-Mall,Contract Agreement,15-Oct-25,15-Oct-25,15-Oct-25,Start milestone,projects\Buildings\Sophia-Mall\01-data\import_templates\milestones.csv
KD-MS-1020,Sophia Mall Mixed-Use Development,Buildings,Sophia-Mall,IFC Drawing Package,22-Oct-25,27-Oct-25,22-Oct-25,Key milestone,projects\Buildings\Sophia-Mall\01-data\import_templates\milestones.csv
KD-MS-5000,Sophia Mall Mixed-Use Development,Buildings,Sophia-Mall,Structural Works Completion,15-Oct-26,30-Oct-26,,Interim milestone,projects\Buildings\Sophia-Mall\01-data\import_templates\milestones.csv
KD-MS-9000,Sophia Mall Mixed-Use Development,Buildings,Sophia-Mall,Substantial Completion,31-Jul-27,25-Aug-27,,Finish milestone,projects\Buildings\Sophia-Mall\01-data\import_templates\milestones.csv
KD-MS-1000,Suez Tunnel Civil & MEP Works,Tunnels,Suez-Tunnel,Project Start Date,1-Sep-25,1-Sep-25,1-Sep-25,Start milestone,projects\Tunnels\Suez-Tunnel\01-data\import_templates\milestones.csv
KD-MS-1010,Suez Tunnel Civil & MEP Works,Tunnels,Suez-Tunnel,Contract Agreement,1-Sep-25,1-Sep-25,1-Sep-25,Start milestone,projects\Tunnels\Suez-Tunnel\01-data\import_templates\milestones.csv
KD-MS-1020,Suez Tunnel Civil & MEP Works,Tunnels,Suez-Tunnel,IFC Drawing Package,8-Sep-25,24-Sep-25,8-Sep-25,Key milestone,projects\Tunnels\Suez-Tunnel\01-data\import_templates\milestones.csv
KD-MS-5000,Suez Tunnel Civil & MEP Works,Tunnels,Suez-Tunnel,Structural Works Completion,1-Sep-26,19-Oct-26,,Interim milestone,projects\Tunnels\Suez-Tunnel\01-data\import_templates\milestones.csv
KD-MS-9000,Suez Tunnel Civil & MEP Works,Tunnels,Suez-Tunnel,Substantial Completion,28-Feb-27,18-May-27,,Finish milestone,projects\Tunnels\Suez-Tunnel\01-data\import_templates\milestones.csv
