project_id,project_name,sector_name,activity_id,activity_name,period,BAC,AC,EV,PV,CPI,SPI,CV,SV,source_file
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,KD-MS-1000,Project Start Date,May-26,10240963.86,10855421.69,10240963.86,10240963.86,0.94,1.0,-614457.83,0.0,projects\Bridges\LMD-Bridgs\01-data\import_templates\evm.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,KD-MS-1010,Contract Agreement,May-26,10240963.86,10855421.69,10240963.86,10240963.86,0.94,1.0,-614457.83,0.0,projects\Bridges\LMD-Bridgs\01-data\import_templates\evm.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,KD-MS-1020,IFC Drawing Package,May-26,10240963.86,10855421.69,10240963.86,10240963.86,0.94,1.0,-614457.83,0.0,projects\Bridges\LMD-Bridgs\01-data\import_templates\evm.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,KD-MOB-1000,Mobilization and traffic diversion setup,May-26,20481927.71,21710843.37,20481927.71,20481927.71,0.94,1.0,-1228915.66,0.0,projects\Bridges\LMD-Bridgs\01-data\import_templates\evm.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,SUR-LB-1010,Survey control and utility relocation setting out,May-26,20481927.71,21710843.37,20481927.71,20481927.71,0.94,1.0,-1228915.66,0.0,projects\Bridges\LMD-Bridgs\01-data\import_templates\evm.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,E-SUB-LB-1020,Bridge substructure shop drawings,May-26,30722891.57,24567990.36,23177349.4,28265060.24,0.94,0.82,-1390640.96,-5087710.84,projects\Bridges\LMD-Bridgs\01-data\import_templates\evm.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,E-APP-LB-1020,Approval of pier and deck shop drawings,May-26,30722891.57,18693036.14,17634939.76,21506024.1,0.94,0.82,-1058096.39,-3871084.34,projects\Bridges\LMD-Bridgs\01-data\import_templates\evm.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,P-MDEL-LB-1000,"Steel, bearings and expansion joints delivery",May-26,51204819.28,24478975.9,23093373.49,28162650.6,0.94,0.82,-1385602.41,-5069277.11,projects\Bridges\LMD-Bridgs\01-data\import_templates\evm.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,CON-LB-PIL-1010,Bored piles and pile caps,May-26,102409638.55,75662289.16,71379518.07,87048192.77,0.94,0.82,-4282771.08,-15668674.7,projects\Bridges\LMD-Bridgs\01-data\import_templates\evm.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,CON-LB-RFT-1020,RFT for piers and abutments,May-26,102409638.55,51628385.54,48706024.1,59397590.36,0.94,0.82,-2922361.45,-10691566.27,projects\Bridges\LMD-Bridgs\01-data\import_templates\evm.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,CON-LB-CON-1030,Concrete works for piers and abutments,May-26,102409638.55,32045204.82,30231325.3,36867469.88,0.94,0.82,-1813879.52,-6636144.58,projects\Bridges\LMD-Bridgs\01-data\import_templates\evm.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,CON-LB-DECK-1040,Deck formwork reinforcement and casting,May-26,102409638.55,7121156.63,6718072.29,8192771.08,0.94,0.82,-403084.34,-1474698.8,projects\Bridges\LMD-Bridgs\01-data\import_templates\evm.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,CON-LB-ROAD-1050,Approach road embankment and pavement,May-26,102409638.55,1780289.16,1679518.07,2048192.77,0.94,0.82,-100771.08,-368674.7,projects\Bridges\LMD-Bridgs\01-data\import_templates\evm.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,MEP-LB-LGT-1060,Street lighting and drainage works,May-26,61445783.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,projects\Bridges\LMD-Bridgs\01-data\import_templates\evm.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,FIN-LB-1070,"Barriers, asphalt and road marking",May-26,61445783.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,projects\Bridges\LMD-Bridgs\01-data\import_templates\evm.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,TST-LB-1080,Load testing and handover inspections,May-26,20481927.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,projects\Bridges\LMD-Bridgs\01-data\import_templates\evm.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,KD-MS-9000,Substantial Completion,May-26,10240963.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,projects\Bridges\LMD-Bridgs\01-data\import_templates\evm.csv
