Evidence Ref,Event ID,Activity ID,Document Type,Source File,Source Row,Document Date,Description,Linked Letter Ref,Linked RFI Ref,Linked MIR Ref,Linked Delivery Ref,Used In Report
DEL-001,,,Employer steel supply record,02- employer_steel_supply.csv,2,8-Oct-25,Employer-delivered steel quantity 146.8,,,,Delivery row 1,Yes
DEL-002,,,Employer steel supply record,02- employer_steel_supply.csv,3,9-Dec-25,Employer-delivered steel quantity 440.8,,,,Delivery row 2,Yes
DEL-003,,,Employer steel supply record,02- employer_steel_supply.csv,4,14-Feb-26,Employer-delivered steel quantity 371.115,,,,Delivery row 3,Yes
DEL-004,,,Employer steel supply record,02- employer_steel_supply.csv,5,5-May-26,Employer-delivered steel quantity 355.84,,,,Delivery row 4,Yes
MAS-006,,CON-B01-FOOT-1050,Master activity steel analysis row,01- master_activity_steel_analysis.csv,7,5-Feb-26,Activity-level employer steel delay marker with gap 236.285,,,,ALLOC-005A,Yes
MAS-010,,CON-B04-FOOT-1050,Master activity steel analysis row,01- master_activity_steel_analysis.csv,11,10-Mar-26,Activity-level employer steel delay marker with gap -26.995,,,,ALLOC-007,Yes
MAS-011,,CON-B04-FOOT-1070,Master activity steel analysis row,01- master_activity_steel_analysis.csv,12,10-Mar-26,Activity-level employer steel delay marker with gap -29.035,,,,ALLOC-008,Yes
MAS-012,,CON-B02-BAS02-1010,Master activity steel analysis row,01- master_activity_steel_analysis.csv,13,21-Apr-26,Activity-level employer steel delay marker with gap -50.115,,,,ALLOC-009,Yes
THREAD-Contractual ,,,Letters Intelligence thread,01-SAMCO-ACEPM_letters_linked_updated.xlsx,,,"Submittals, programme, periodic reporting compliance, and slow-progress reporting comments.",LET-004; LET-018; LET-021; LET-030; LET-032; LET-037; STR-006; STR-033; STR-074,,,,Yes
THREAD-Reinforcemen,,,Letters Intelligence thread,01-SAMCO-ACEPM_letters_linked_updated.xlsx,,,"Owner steel supply delay, mitigation deliveries, and time-impact entitlement",LET-016; LET-028; LET-035; STR-010; STR-011; STR-025; STR-042; STR-044; STR-045; STR-048; STR-051; STR-053; STR-062; STR-069; STR-079,,,,Yes
THREAD-Payments / I,,,Letters Intelligence thread,01-SAMCO-ACEPM_letters_linked_updated.xlsx,,,IPC submissions and payment-delay allegations versus ACE threshold response and project-constraint reservation,LET-027; LET-031; STR-028; STR-038; STR-046; STR-054; STR-055; STR-056; STR-059; STR-068; STR-070; STR-075; STR-081,,,,Yes
THREAD-Waterproofin,,,Letters Intelligence thread,01-SAMCO-ACEPM_letters_linked_updated.xlsx,,,"Clarification and claim path on internal tank waterproofing scope, sequence, and warranty",STR-023; STR-073; STR-082,,,,Yes
THREAD-Site progres,,,Letters Intelligence thread,01-SAMCO-ACEPM_letters_linked_updated.xlsx,,,"SAMCO claim chain on structural-package discrepancies, steel supply, delayed technical response, and milestone impact",LET-033; LET-036; STR-071; STR-076; STR-080,,,,Yes
RFI-C6-001,RFI-CLAIM6-001,CON-B04-WT-1070,RFI submission / reply delay analysis,C:\Users\pc\OneDrive\Desktop\01 Letters\labib tia folders\05-Delay Analysis (TIA)\claim 6\RFI Delay.xlsx,2,16-Feb-2026,RFI 001 / BD-CW-SAMCO-PCO-RFI-MECH-00001-R00 affects CON-B04-WT-1070 - RFT for RC Raft (B04) (Water Tank); submitted 16-Feb-2026 and replied 29-Mar-2026; delay beyond 10 days = 31.0 days. Subject: Sump pit dimensions and associated coordination items,,RFI 001 / BD-CW-SAMCO-PCO-RFI-MECH-00001-R00,,,Yes
RFI-C6-002,RFI-CLAIM6-002,CON-B04-WT-1110,RFI submission / reply delay analysis,C:\Users\pc\OneDrive\Desktop\01 Letters\labib tia folders\05-Delay Analysis (TIA)\claim 6\RFI Delay.xlsx,3,17-Feb-2026,"RFI 002 / BD-CW-SAMCO-PCO-RFI-MECH-00002-R00 affects CON-B04-WT-1110 - RFT for Walls (B04) (Water Tank); submitted 17-Feb-2026 and replied 18-Mar-2026; delay beyond 10 days = 19.0 days. Subject: Pump room coordination issues: crane clearance, openings, updated design, and staircase",,RFI 002 / BD-CW-SAMCO-PCO-RFI-MECH-00002-R00,,,Yes
RFI-C6-003,RFI-CLAIM6-003,CON-B01-FOOT-1050,RFI submission / reply delay analysis,C:\Users\pc\OneDrive\Desktop\01 Letters\labib tia folders\05-Delay Analysis (TIA)\claim 6\RFI Delay.xlsx,4,10-Mar-2026,RFI 003 affects CON-B01-FOOT-1050 - RFT for RC Raft & Footings (B01) (footing); submitted 10-Mar-2026 and replied 07-Apr-2026; delay beyond 10 days = 18.0 days. Subject: Sump pit configuration and penetrating pipe levels for B2/B3 area,,RFI 003,,,Yes
RFI-C6-005,RFI-CLAIM6-005,CON-B04-WT-1110,RFI submission / reply delay analysis,C:\Users\pc\OneDrive\Desktop\01 Letters\labib tia folders\05-Delay Analysis (TIA)\claim 6\RFI Delay.xlsx,5,10-Mar-2026,RFI 005 affects CON-B04-WT-1110 - RFT for Walls (B04) (Water Tank); submitted 10-Mar-2026 and replied 05-Apr-2026; delay beyond 10 days = 16.0 days. Subject: Latest infrastructure package clarifications affecting tank and retaining wall penetrations,,RFI 005,,,Yes
