project_id,project_name,sector_name,wbs_code,wbs_name,total_activities,bl_project_duration,remaining_duration,total_float,bl_project_start,bl_project_finish,actual_start,actual_finish,schedule_%_complete,performance_%_complete,budget_at_completion,earned_value_cost,planned_value_cost,source_file
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,No Priority,,912,485,338,0.0,1-Oct-25,28-Jan-27,2-Oct-25,,0.588,0.329,318250000.0,104704250.0,187131000.0,projects\Bridges\LMD-Bridgs\01-data\import_templates\wbs.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,LMD-Bridge - P.01 - UP-20-April-26,LMD BRIDGE AND ROAD INTERCHANGE PROJECT,912,485,338,-61.0,1-Oct-25,28-Jan-27,2-Oct-25,,0.588,0.329,318250000.0,104704250.0,187131000.0,projects\Bridges\LMD-Bridgs\01-data\import_templates\wbs.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,LMD-Bridge - P.01 - UP-20-April-26.KD,Key Dates,7,485,338,-61.0,1-Oct-25,28-Jan-27,2-Oct-25,,0.0,0.0,0.0,0.0,0.0,projects\Bridges\LMD-Bridgs\01-data\import_templates\wbs.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,LMD-Bridge - P.01 - UP-20-April-26.KD.MI,Milestone,5,485,338,-61.0,1-Oct-25,28-Jan-27,2-Oct-25,,0.0,0.0,0.0,0.0,0.0,projects\Bridges\LMD-Bridgs\01-data\import_templates\wbs.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,LMD-Bridge - P.01 - UP-20-April-26.KD.MO,Mobilization,9,14,0,,1-Oct-25,15-Oct-25,3-Oct-25,18-Oct-25,0.0,0.0,0.0,0.0,0.0,projects\Bridges\LMD-Bridgs\01-data\import_templates\wbs.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,LMD-Bridge - P.01 - UP-20-April-26.EN,Engineering,202,214,28,96.0,1-Oct-25,3-May-26,2-Oct-25,,0.0,0.0,0.0,0.0,0.0,projects\Bridges\LMD-Bridgs\01-data\import_templates\wbs.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,LMD-Bridge - P.01 - UP-20-April-26.P,Procurement,73,395,185,64.0,1-Oct-25,31-Oct-26,2-Oct-25,,0.0,0.0,0.0,0.0,0.0,projects\Bridges\LMD-Bridgs\01-data\import_templates\wbs.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,LMD-Bridge - P.01 - UP-20-April-26.CON,Construction,489,435,318,-44.0,5-Nov-25,19-Nov-26,2-Oct-25,,0.588,0.329,318250000.0,104704250.0,187131000.0,projects\Bridges\LMD-Bridgs\01-data\import_templates\wbs.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,LMD-Bridge - P.01 - UP-20-April-26.CON.EW,Earth Works,38,78,5,-8.0,31-Oct-25,17-Jan-26,29-Oct-25,31-Dec-25,0.93,0.87,18750000.0,16312500.0,17437500.0,projects\Bridges\LMD-Bridgs\01-data\import_templates\wbs.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,LMD-Bridge - P.01 - UP-20-April-26.CON.FD,Foundations & Piles,96,245,128,-62.0,15-Nov-25,18-Jul-26,2-Oct-25,,0.71,0.46,72500000.0,33350000.0,51475000.0,projects\Bridges\LMD-Bridgs\01-data\import_templates\wbs.csv
