Clause / Topic,Location,Plain English Meaning,Research the Lines,Who Holds Leverage,Notice / Time Bar,Money Impact,Schedule Impact,Practical Action / Evidence
Contract basics,Agreement / Contract Data,"Project is the Big Project civil works between Roya as Employer and Samco as Contractor, effective 30-Apr-2025.","All later letters should be read against this baseline: parties, project, price, time, and risk allocation are fixed from this date.",Neutral,Use exact contract references in all notices.,Defines the starting commercial baseline.,Defines the baseline programme period.,"Keep contract date, parties, amount, and commencement records in every claim file."
Accepted Contract Amount,Agreement / Appendix,"Contract amount is EGP 367,286,025 including social insurance, duties, and taxes except VAT.",The price is intended to be comprehensive. The Contractor must prove why any extra is outside the agreed scope or qualifies under variation/adjustment clauses.,Employer,Any extra must follow Variation or Claim procedure.,High barrier to extra payment unless clear instruction/change exists.,No direct time right unless linked to variation or delay event.,"For each extra cost, attach instruction, BOQ gap analysis, and timely notice."
Re-measured contract,Agreement / Appendix,Contract is on a re-measured basis and payment is based on actual executed quantities.,"Quantities can increase or decrease, but rates and risk wording still matter. More quantity is not automatically a new scope claim.",Shared,Measurement records must be timely and supported.,"Payment follows measured work, not tender BOQ quantity warranty.",Quantity change may affect time only if it impacts critical path and is claimed.,"Keep survey sheets, IR approvals, measurement sheets, and BOQ mapping."
BOQ quantity no warranty,Agreement,Employer gives no warranty that BOQ quantities are accurate.,"The Contractor cannot rely only on tender quantities to claim surprise. The claim must be tied to changed scope, instruction, or unforeseeable condition.",Employer,Claim notice still required if quantity change delays or costs more than normal remeasurement.,Limits quantity-based claims.,Possible only if actual quantity change affects critical path and is properly proved.,"Compare tender BOQ, IFC drawings, actual measurements, and programme impact."
Fixed and final price wording,Appendix,"Accepted amount is fixed and final, inclusive of compensation, contingencies, future law, fuel, and currency changes except specified material adjustment.",This is a strong anti-claim clause. Most market escalation arguments are blocked unless they fit the concrete/steel adjustment formula.,Employer,Use price adjustment clause only where allowed.,Reduces escalation and hardship claims.,No direct EOT from price movement.,Separate allowed concrete/steel adjustment from general inflation claims.
Concrete and steel price adjustment,Appendix,Concrete and steel may be adjusted using CAPMAS indices if delay is not due to Contractor.,"Price adjustment is conditional. If Employer/Engineer says the Contractor caused the delay, the adjustment may be rejected.",Shared,Need proof delay was not Contractor-caused.,Potential recovery for concrete/steel escalation only.,Depends on non-contractor delay period and affected procurement.,"Prepare CAPMAS index comparison, baseline prices, procurement dates, and delay responsibility analysis."
Exclusions from contract amount,Appendix,"Employer/Engineer site mobilization, authority permits/licenses, relocation/protection of utilities, and dewatering are excluded.","These are possible entitlement areas, but only if actually instructed or required and not already covered elsewhere.",Contractor if documented,Variation/claim notice required before or immediately after impact.,Potential additional payment if outside scope and instructed/required.,Potential EOT if critical and not Contractor fault.,"Record instruction, site condition, authority requirement, photographs, and cost/time impact."
Advance payment structure,Appendix / Clause 14.2,Advance payment is 25 percent; 30 percent cash against bank check and 70 percent as steel supplied by Employer according to approved programme.,Steel supply is commercially tied to the advance. But entitlement depends on approved programme and proper requisitions.,Shared,Steel delay notices should be immediate and linked to approved programme dates.,Employer-supplied steel affects advance/payment accounting.,Late steel may support delay only if critical and properly requested.,"Keep approved programme, steel requisitions, delivery notes, and impact analysis."
Monthly statements and material on site,Clause 14.3 / 14.5,Monthly statements include executed work and 70 percent of approved delivered materials/plants.,"Materials can improve cash flow, but only if approved, delivered, insured, and documented as required.",Shared,Submit complete monthly statement with supporting records.,Incomplete support delays payment certification.,"Indirect risk if cash flow affects progress, but not automatic EOT.","Attach delivery notes, approvals, photos, ownership/insurance records, and BOQ allocation."
Minimum IPC threshold,Appendix,Minimum IPC amount is 70 percent of monthly cash flow.,Small or weak IPCs can be administratively rejected or deferred. Payment entitlement is linked to monthly cash flow planning.,Employer,Monthly IPC must meet threshold and be complete.,Can delay cash collection if IPC below threshold.,Indirect cash-flow pressure; not itself an EOT event.,Align monthly valuation with approved cash flow and explain any shortfall.
